criteria_prescribing_txt_id,parameter_prescribing_txt_id,pt_position,schedule_code
"14922","14921","1","3834"
"14928","14927","1","3834"
"14930","14929","1","3834"
"14952","14951","1","3834"
"14958","14954","1","3834"
"14958","14957","2","3834"
"14963","14962","1","3834"
"14968","14967","1","3834"
"14971","14970","1","3834"
"14974","14973","1","3834"
"14979","14978","1","3834"
"14989","14988","1","3834"
"14991","14990","1","3834"
"14996","14995","1","3834"
"14999","14997","1","3834"
"14999","14998","2","3834"
"15063","15062","1","3834"
"15066","15065","1","3834"
"15069","15067","1","3834"
"15069","15068","2","3834"
"15071","15070","1","3834"
"15074","15072","1","3834"
"15074","15073","2","3834"
"15088","15087","1","3834"
"15098","15097","1","3834"
"15103","15102","1","3834"
"15105","15104","1","3834"
"15160","15159","1","3834"
"15171","15170","1","3834"
"15178","15177","1","3834"
"15197","8656","1","3834"
"15197","9694","2","3834"
"15197","15195","3","3834"
"15197","15196","4","3834"
"15199","15198","1","3834"
"15208","15207","1","3834"
"15215","8656","1","3834"
"15215","15213","2","3834"
"15215","10064","3","3834"
"15215","15214","4","3834"
"15220","15218","1","3834"
"15220","15219","2","3834"
"15229","15228","1","3834"
"15231","8656","1","3834"
"15231","15196","2","3834"
"15231","15214","3","3834"
"15234","15233","1","3834"
"15241","8656","1","3834"
"15241","15213","2","3834"
"15241","10064","3","3834"
"15241","15214","4","3834"
"15241","15196","5","3834"
"15250","15249","1","3834"
"15254","15253","1","3834"
"15257","15256","1","3834"
"15265","15263","1","3834"
"15265","15264","2","3834"
"15271","15270","1","3834"
"15273","8656","1","3834"
"15273","15213","2","3834"
"15273","15214","3","3834"
"15273","15196","4","3834"
"15273","15272","5","3834"
"15276","15275","1","3834"
"15280","15279","1","3834"
"15286","15284","1","3834"
"15286","15285","2","3834"
"15288","8051","1","3834"
"15288","8656","2","3834"
"15288","10064","3","3834"
"15296","15295","1","3834"
"15299","15297","1","3834"
"15299","15298","2","3834"
"15303","15301","1","3834"
"15303","15302","2","3834"
"15309","15308","1","3834"
"15311","15310","1","3834"
"15314","15313","1","3834"
"15322","15321","1","3834"
"15325","15324","1","3834"
"15325","15203","2","3834"
"15344","15343","1","3834"
"15346","15345","1","3834"
"15348","15347","1","3834"
"15388","15387","1","3834"
"15394","15393","1","3834"
"15437","15436","1","3834"
"15439","15438","1","3834"
"15445","15444","1","3834"
"15452","15451","1","3834"
"15470","15469","1","3834"
"15472","15471","1","3834"
"15475","15474","1","3834"
"15481","15480","1","3834"
"15487","15486","1","3834"
"15489","15488","1","3834"
"15491","15490","1","3834"
"15494","15493","1","3834"
"15553","15552","1","3834"
"15556","15555","1","3834"
"15558","15557","1","3834"
"15560","15559","1","3834"
"15564","15563","1","3834"
"15588","15586","1","3834"
"15588","15587","2","3834"
"15629","9128","1","3834"
"15629","15627","2","3834"
"15629","15628","3","3834"
"15632","15631","1","3834"
"15649","15648","1","3834"
"15668","15644","1","3834"
"15668","15667","2","3834"
"15689","15688","1","3834"
"15702","15701","1","3834"
"15704","15703","1","3834"
"15708","15707","1","3834"
"15711","15710","1","3834"
"15713","15712","1","3834"
"15730","15729","1","3834"
"15740","15739","1","3834"
"15742","15741","1","3834"
"15744","15743","1","3834"
"15794","15793","1","3834"
"15803","15802","1","3834"
"15831","15830","1","3834"
"15860","15859","1","3834"
"15882","15881","1","3834"
"15885","15685","1","3834"
"15885","15884","2","3834"
"15900","15899","1","3834"
"15907","15906","1","3834"
"15915","15914","1","3834"
"15919","15918","1","3834"
"15926","15925","1","3834"
"15974","15973","1","3834"
"16025","16024","1","3834"
"16068","16066","1","3834"
"16068","16067","2","3834"
"16071","16069","1","3834"
"16071","16070","2","3834"
"16112","16111","1","3834"
"16113","16067","1","3834"
"16117","16116","1","3834"
"16119","16118","1","3834"
"16121","16120","1","3834"
"16126","16125","1","3834"
"16128","16127","1","3834"
"16136","16134","1","3834"
"16136","16135","2","3834"
"16141","16138","1","3834"
"16141","16139","2","3834"
"16141","16140","3","3834"
"16144","16143","1","3834"
"16165","16162","1","3834"
"16165","16163","2","3834"
"16165","16164","3","3834"
"16174","16171","1","3834"
"16174","16172","2","3834"
"16174","16173","3","3834"
"16178","16177","1","3834"
"16277","16276","1","3834"
"16283","16282","1","3834"
"16285","16284","1","3834"
"16316","16315","1","3834"
"16334","16332","1","3834"
"16334","16333","2","3834"
"16338","16336","1","3834"
"16338","16337","2","3834"
"16346","16344","1","3834"
"16346","16345","2","3834"
"16352","16347","1","3834"
"16352","16349","2","3834"
"16352","16351","3","3834"
"16374","16373","1","3834"
"16376","14176","1","3834"
"16376","16375","2","3834"
"16378","16377","1","3834"
"16381","16380","1","3834"
"16385","16384","1","3834"
"16426","16422","1","3834"
"16426","16425","2","3834"
"16451","16450","1","3834"
"16545","16544","1","3834"
"16615","16614","1","3834"
"16676","16675","1","3834"
"16685","16682","1","3834"
"16685","16683","2","3834"
"16685","16684","3","3834"
"16689","16688","1","3834"
"16694","16693","1","3834"
"16752","16751","1","3834"
"16764","16763","1","3834"
"16783","16782","1","3834"
"16783","10088","2","3834"
"16790","16789","1","3834"
"16899","16898","1","3834"
"16916","15324","1","3834"
"16921","16920","1","3834"
"16935","16934","1","3834"
"16964","16963","1","3834"
"16976","15389","1","3834"
"16976","15390","2","3834"
"16976","15391","3","3834"
"16993","15389","1","3834"
"16993","15390","2","3834"
"16993","15391","3","3834"
"16993","10064","4","3834"
"16993","16992","5","3834"
"16996","11644","1","3834"
